# ORB-slam3's format: time[ns], wx(rad/s), wy, wz, ax(m/s2), ay, az
5567334333,0.000389,0.000282,0.000534,-0.650345,0.061538,10.010378
5577334333,0.000094,0.000058,0.000430,-0.638138,0.073485,10.087529
5587334333,-0.000267,-0.000133,0.000393,-0.653018,0.094019,10.145180
5597334333,-0.000601,-0.000357,0.000239,-0.657770,0.082530,10.170299
5607334333,-0.001024,-0.000549,0.000098,-0.637580,0.104145,10.189372
5617334333,-0.001342,-0.000760,0.000005,-0.641858,0.093433,10.173676
5627334333,-0.001655,-0.000905,-0.000180,-0.620175,0.130133,10.175046
5637334333,-0.001756,-0.001080,-0.000347,-0.594800,0.056452,10.094302
5647334333,-0.001879,-0.001219,-0.000480,-0.631959,0.081523,10.113786
5657334333,-0.001975,-0.001275,-0.000646,-0.590278,0.064513,10.095220
5667334333,-0.001943,-0.001327,-0.000811,-0.604710,0.031901,10.092358
5677334333,-0.001982,-0.001487,-0.000898,-0.581370,0.058694,10.101346
5687334333,-0.001847,-0.001555,-0.001089,-0.534809,0.036506,10.119976
5697334333,-0.001731,-0.001559,-0.001204,-0.578330,0.060414,10.132579
5707334333,-0.001515,-0.001465,-0.001338,-0.534676,0.047765,10.033916
5717334333,-0.001362,-0.001423,-0.001432,-0.603476,0.050311,9.962687
5727334333,-0.001208,-0.001360,-0.001511,-0.549119,0.046884,9.874543
5737334333,-0.000961,-0.001323,-0.001501,-0.553609,0.039928,9.745166
5747334333,-0.000728,-0.001259,-0.001520,-0.570935,0.077864,9.689235
5757334333,-0.000506,-0.001149,-0.001450,-0.546446,0.091895,9.576403
5767334333,-0.000300,-0.000963,-0.001278,-0.548679,0.057086,9.429292
5777334333,-0.000185,-0.000810,-0.001194,-0.543585,0.066454,9.325099
5787334333,0.000067,-0.000667,-0.000979,-0.581294,0.062577,9.253655
5797334333,0.000238,-0.000507,-0.000803,-0.537156,0.032891,9.189841
5807334333,0.000408,-0.000237,-0.000443,-0.536088,0.016040,9.137829
5817334333,0.000560,-0.000048,-0.000191,-0.189764,-0.036213,9.182828
5827334333,0.000707,0.000135,0.000058,0.139066,-0.039335,9.231481
5837334333,0.000715,0.000337,0.000331,0.466494,-0.036197,9.263593
5847334333,0.000740,0.000541,0.000588,0.759290,-0.007417,9.318065
5857334333,0.000712,0.000586,0.000736,1.095029,-0.054850,9.385747
5867334333,0.000584,0.000696,0.000877,1.387520,-0.071189,9.397793
5877334333,0.000475,0.000799,0.001088,1.735023,-0.021594,9.426435
5887334333,0.000294,0.000863,0.001301,2.031484,0.026762,9.446756
5897334333,0.000058,0.000909,0.001420,2.337512,-0.024546,9.493072
5907334333,-0.000233,0.000975,0.001487,2.663987,0.014827,9.480623
5917334333,-0.000492,0.000980,0.001560,2.534718,0.021770,9.564429
5927334333,-0.000754,0.000999,0.001682,2.279142,-0.014237,9.631240
5937334333,-0.000911,0.001007,0.001720,1.996899,-0.019835,9.694162
5947334333,-0.001036,0.000985,0.001774,1.791873,-0.038330,9.758994
5957334333,-0.001219,0.001016,0.001785,1.549875,-0.033019,9.842133
5967334333,-0.001287,0.001024,0.001719,1.326313,-0.074201,9.910533
5977334333,-0.001418,0.000955,0.001683,1.048387,-0.073681,9.931989
5987334333,-0.001336,0.000911,0.001652,0.860212,-0.075024,10.005193
5997334333,-0.001265,0.000909,0.001621,0.580085,-0.088902,10.064146
6007334333,-0.001282,0.000867,0.001467,0.300162,-0.077000,10.111092
6017334333,-0.001133,0.000772,0.001417,0.172193,-0.051130,10.140824
6027334333,-0.001080,0.000688,0.001271,0.133544,-0.052865,10.214008
6037334333,-0.000949,0.000631,0.001084,0.044516,-0.072392,10.219791
6047334333,-0.000797,0.000582,0.000939,-0.035015,-0.101281,10.247447
6057334333,-0.000592,0.000424,0.000836,-0.075810,-0.108677,10.288008
6067334333,-0.000425,0.000361,0.000587,-0.138039,-0.103170,10.291960
6077334333,-0.000238,0.000274,0.000432,-0.214741,-0.103270,10.279735
6087334333,-0.000057,0.000143,0.000225,-0.227093,-0.089321,10.340542
6097334333,0.000132,0.000012,0.000015,-0.309159,-0.092899,10.351398
6107334333,0.000357,-0.000129,-0.000261,-0.388046,-0.098687,10.383403
6117334333,0.000569,-0.000269,-0.000534,-0.432831,-0.053470,10.352792
6127334333,0.000808,-0.000416,-0.000712,-0.407128,-0.068532,10.343044
6137334333,0.000943,-0.000480,-0.000973,-0.421598,-0.066092,10.212371
6147334333,0.001138,-0.000575,-0.001082,-0.422280,-0.013509,10.191424
6157334333,0.001183,-0.000654,-0.001251,-0.418910,-0.008641,10.091447
6167334333,0.001260,-0.000677,-0.001307,-0.437216,-0.015157,9.998236
6177334333,0.001232,-0.000707,-0.001403,-0.391917,-0.009061,9.940838
6187334333,0.001262,-0.000676,-0.001480,-0.418911,-0.003704,9.902240
6197334333,0.001212,-0.000689,-0.001464,-0.430781,0.043125,9.820898
6207334333,0.001049,-0.000568,-0.001415,-0.383611,0.023434,9.778166
6217334333,0.000894,-0.000511,-0.001384,-0.406849,-0.029750,9.736814
6227334333,0.000744,-0.000393,-0.001261,-0.425942,-0.025974,9.703455
6237334333,0.000649,-0.000309,-0.001164,-0.401720,0.004588,9.666367
6247334333,0.000429,-0.000210,-0.001060,-0.431659,-0.000348,9.629831
6257334333,0.000267,-0.000110,-0.000897,-0.385111,0.006386,9.599803
6267334333,0.000195,-0.000000,-0.000831,-0.371237,0.026446,9.531005
6277334333,0.000030,0.000056,-0.000706,-0.426523,0.008992,9.511080
6287334333,-0.000035,0.000082,-0.000585,-0.407257,0.037270,9.462576
6297334333,-0.000178,0.000170,-0.000412,-0.441870,0.020213,9.427932
6307334333,-0.000234,0.000247,-0.000305,-0.364026,0.038913,9.410347
6317334333,-0.000278,0.000270,-0.000149,-0.406319,0.001422,9.336772
6327334333,-0.000350,0.000248,0.000001,-0.404862,0.000826,9.330013
6337334333,-0.000386,0.000310,0.000181,-0.409666,-0.064398,9.385865
6347334333,-0.000396,0.000306,0.000303,-0.437169,-0.048756,9.459970
6357334333,-0.000408,0.000306,0.000380,-0.443159,-0.036828,9.473259
6367334333,-0.000372,0.000270,0.000440,-0.439476,-0.056704,9.536268
6377334333,-0.000312,0.000230,0.000462,-0.434823,-0.029126,9.590591
6387334333,-0.000302,0.000164,0.000467,-0.437779,-0.085349,9.590591
6397334333,-0.000125,0.000076,0.000478,-0.460959,-0.055785,9.656655
6407334333,0.000028,-0.000075,0.000428,-0.446739,-0.052570,9.657202
6417334333,0.000175,-0.000205,0.000350,-0.445247,-0.076574,9.703221
6427334333,0.000396,-0.000295,0.000269,-0.430224,0.011703,9.718727
